Cable Parallel Grip Pulldown, 675000
Cable Pulldown (pro lat bar), 832000
Cable Pulldown (stirrups), 325000
Cable Pullover, 18100000
Cable Bent-over Pullover, 1120000
Cable Seated Pullover, 306000
Cable Chin-up, 34100000
Cable Parallel Close Grip Pull-up, 7980000
Cable Parallel Grip Pull-up, 12400000
Cable Pull-up, 179000000
Cable Rear Pull-up, 39900000
Cable Rear Pulldown, 3310000
Cable Alternating Standing Pulldown, 5180000
Cable Simultaneous Alternating Standing Pulldown, 5740000
Cable Twisting Standing Overhead Pull, 4680000
Cable Underhand Pulldown, 226000
Cable Chin-up, 29600000
Cable Parallel Close Grip Pull-up, 7980000
Cable Parallel Grip Pull-up, 12400000
Cable Pull-up, 179000000
Cable Rear Pull-up, 44600000
Cable Alternating Standing Pulldown, 5180000
Cable Simultaneous Alternating Standing Pulldown, 5740000
Cable Twisting Standing Overhead Pull, 4680000
Lever Close Grip Pulldown (plate-loaded), 1260000
Lever Front Pulldown (plate loaded), 1050000
Lever Pulldown (plate loaded), 946000
Lever Pullover (plate loaded), 629000
Lever Rear Pulldown (plate loaded), 1560000
Lever Underhand Pulldown (plate loaded), 282000
Lever Underhand Pulldown (plate loaded), 282000
Lever Close Grip Pulldown, 716000
Lever Close Grip Pulldown, 716000
Lever Front Pulldown, 838000
Lever Iron Cross, 13800000
Lever Pulldown, 6010000
Lever Pulldown, 6010000
Lever Pulldown (parallel grip), 621000
Lever Pullover, 3990000
Lever Underhand Pulldown, 181000
Lever Underhand Pulldown, 181000
Lever Alternating Underhand Pulldown, 1360000
Weighted Chin-up, 17000000
Weighted Neutral Grip Chin-up, 8880000
Weighted Parallel Close Grip Pull-up, 19300000
Weighted Pull-up, 38100000
Weighted Neutral Grip Pull-up, 7400000
Weighted Pull-up (open-centered bar), 82700000
Weighted Rear Pull-up, 3640000
Band-assisted Chin-up, 8790000
Band-assisted Neutral Grip Chin-up, 2940000
Band-assisted Pull-up, 11000000
Band-assisted Neutral Grip Pull-up, 2380000
Band-assisted Open Centered Pull-up, 107000000
Band-assisted Parallel Grip Pull-up, 2330000
Band-assisted Rear Pull-up, 68500000
Chin-up, 1200000000
Neutral Grip Chin-up, 3030000
Parallel Close Grip Pull-up, 18200000
Pull-up, 4830000000
Neutral Grip Pull-up, 9470000
Pull-up (open-centered bar), 186000000
Rear Pull-up, 218000000
Partner-assisted Chin-up, 4400000
Partner-assisted Pull-up, 10700000
Partner-assisted Rear Pull-up, 163000000
Self-assisted Chin-up, 11500000
Self-assisted Pull-up, 20500000
Self-assisted Rear Pull-up, 266000000
Suspended Pull-up, 69700000
Suspended Self-assisted Pull-up, 36800000
Chin-up, 1200000000
Neutral Grip Chin-up, 3030000
Parallel Close Grip Pull-up, 18200000
Pull-up, 4830000000
Neutral Grip Pull-up, 9470000
Pull-up (open-centered bar), 186000000
Rear Pull-up, 218000000
Suspended Kneeling Rollout, 1330000
Bar Lat Stretch, 4220000
Bent-over Lat Stretch, 2020000
Bent-over Lat Stretch (on chair or bench), 1110000
Lever Lat Stretch, 4060000
Overhead Lat Stretch, 2130000
PNF Overhead Lat Stretch, 197000
Seated Side Reach Lat Stretch, 2430000
Supine Lat Stretch, 562000
Standing Side Reach Lat Stretch, 2230000
Wall Lat Stretch, 4090000
Cambered Barbell Seated Shrug, 1490000
Barbell Shrug, 1200000
Trap Bar Shrug, 1570000
Trap Bar Shrug (elevated stand), 2510000
Cable Shrug, 6250000
Cable Bar Shrug, 3340000
Cable Shrug (dual pulley), 750000
Cable Shrug (with stirrups), 1230000
Cable One Arm Shrug, 2060000
Dumbbell Shrug, 814000
Lever Gripless Shrug (plate loaded), 5300
Lever Seated Shrug (plate loaded), 988000
Lever Shrug (plate loaded), 790000
Lever Barbell Shrug (plate loaded), 170000
Lever Narrow Grip Shrug (plate loaded), 1470000
Lever Gripless Shrug, 4270
Lever Seated Gripless Shrug, 21300
Lever Shrug, 1360000
Sled Gripless Shrug, 29300
Smith Shrug, 4090000
Inverted Shrug (on parallel bars), 769000
Suspended Inverted Shrug, 1410000
Upper Trapezius Stretch, 35100000
Chair Trapezius Stretch, 17800000
Cambered Barbell Seated Shrug, 1490000
Barbell Shrug, 1070000
Trap Bar Shrug, 1570000
Trap Bar Shrug (elevated stand), 2510000
Cable Shrug, 6250000
Cable Bar Shrug, 3340000
Cable Shrug (dual pulley), 750000
Cable Shrug (with stirrups), 1230000
Cable One Arm Shrug, 2060000
Dumbbell Shrug, 814000
Lever Gripless Shrug (plate loaded), 5300
Lever Seated Shrug (plate loaded), 988000
Lever Shrug (plate loaded), 790000
Lever Barbell Shrug (plate loaded), 170000
Lever Narrow Grip Shrug (plate loaded), 1470000
Lever Gripless Shrug, 4270
Lever Seated Gripless Shrug, 21300
Lever Shrug, 1360000
Sled Gripless Shrug, 29300
Smith Shrug, 4090000
Inverted Shrug (on parallel bars), 769000
Suspended Inverted Shrug, 1410000
Upper Trapezius Stretch, 35100000
Chair Trapezius Stretch, 17800000
Fixed Bar Rhomboids Stretch, 572000
Hugging Stretch, 49100000
Cable Seated Shoulder External Rotation, 1640000
Cable Standing Shoulder External Rotation, 2410000
Cable Upright Shoulder External Rotation, 2120000
Dumbbell Lying Shoulder External Rotation, 666000
Dumbbell Incline Shoulder External Rotation, 677000
Dumbbell Prone External Rotation, 635000
Dumbbell Prone Incline External Rotation, 1210000
Dumbbell Seated Shoulder External Rotation, 683000
Dumbbell Upright Shoulder External Rotation, 609000
Dumbbell Upright Shoulder External Rotation (with support), 1900000
Lever Shoulder External Rotation (plate loaded), 3070000
Lever Shoulder External Rotation, 2040000
Lever Upright Shoulder External Rotation, 3550000
Broom Stick Infraspinatus Stretch, 168000
Bent-over Infraspinatus Stretch, 420000
Seated Bent-over Infraspinatus Stretch, 213000
Side Lying Infraspinatus Stretch, 798000
Side Lying Teres Minor Stretch, 359000
Supine Infraspinatus Stretch, 83800
Prone Infraspinatus Stretch, 270000
Suspended Shoulder External Rotation, 2870000
Cable Seated Shoulder Internal Rotation, 1240000
Cable Standing Shoulder Internal Rotation, 2550000
Dumbbell Supine Shoulder Internal Rotation (on bench with shoulder abducted), 1060000
Dumbbell Shoulder Internal Rotation (on bench), 1530000
Dumbbell Shoulder Internal Rotation (on floor), 1920000
Lever Shoulder Internal Rotation (plate loaded), 2700000
Lever Shoulder Internal Rotation, 2730000
Lever Upright Shoulder Internal Rotation, 3900000
Broom Stick Subscapularis Stretch, 226000
Doorway Subscapularis Stretch, 187000
Machine-assisted Chest Dip (kneeling), 1560000
Barbell Bench Press, 22100000
Barbell Bench Press (power lift), 7790000
Barbell Board Press, 4850000
Barbell Floor Press, 11900000
Barbell Guillotine Bench Press, 642000
Barbell Bench Press (with chains), 1310000
Barbell Decline Bench Press, 1720000
Cable Chest Dip, 9290000
Cable Decline Fly, 5970000
Cable Lying Fly, 8520000
Cable Seated Fly, 7490000
Cable Standing Fly, 18400000
Cable Bench Press, 39900000
Cable Bar Bench Press, 20800000
Cable Chest Press, 38900000
Cable One Arm Chest Press, 21700000
Cable Standing Chest Press, 19800000
Cable Bar Standing Chest Press, 15500000
Cable Twisting Chest Press, 8920000
Cable Decline Chest Press, 3200000
Cable Bar Standing Decline Chest Press, 11900000
Cable Standing Decline Chest Press, 2540000
Cable Twisting Standing Chest Press, 12500000
Cable Decline Fly, 5970000
Cable Lying Fly, 8290000
Cable Seated Fly, 7490000
Cable Standing Fly, 18400000
Cable Bench Press, 39900000
Cable Bar Bench Press, 20800000
Cable Chest Press, 38900000
Cable One Arm Chest Press, 21700000
Cable Standing Chest Press, 19800000
Cable Bar Standing Chest Press, 15500000
Cable Twisting Chest Press, 8920000
Cable Decline Chest Press, 3200000
Cable Bar Standing Decline Chest Press, 11900000
Cable Standing Decline Chest Press, 2540000
Cable Twisting Standing Chest Press, 11500000
